,index,x,y
91,harris,0.07837307888130841,-0.03798885688777045
92,having,0.09336048431569793,-0.09114198117965255
93,he,0.05219758999458935,-0.028248460216802135
94,heat,0.047126395195397734,-0.02229219643896762
95,held,0.12096412912628306,0.025616219918133717
96,henley,0.053329528990009686,0.01682258096760643
97,history,0.047126395195397734,-0.02229219643896762
98,honour,0.05263167870428424,0.0706357726554121
99,hour,0.035148084868073456,-0.016411359188303578
100,in,0.32444707644819404,0.14630489441793673
101,inaugural,0.07837307888130841,-0.03798885688777045
102,including,0.01910109414275966,0.02789897694151703
103,interwar,0.053329528990009686,0.01682258096760643
104,into,0.09336048431569793,-0.09114198117965255
105,investment,0.04181481571115661,-0.023244169679062586
106,is,0.1408673635966135,0.07995912668482999
107,isis,0.035148084868073456,-0.016411359188303578
108,it,0.13941573218340625,0.19073910443598632
109,january,0.036643488458623946,0.025153206326613997
110,journalist,0.035148084868073456,-0.016411359188303578
111,judith,0.03901017249123198,-0.021702375995386547
112,kew,0.053329528990009686,0.01682258096760643
113,kingdom,0.1425414637785808,0.24465556796531363
114,km,0.055644668580434015,0.038526581553151376
115,last,0.035148084868073456,-0.016411359188303578
116,later,0.035148084868073456,-0.016411359188303578
117,leading,0.06039069064858378,-0.08266998629079317
118,least,0.053329528990009686,0.01682258096760643
119,led,0.047126395195397734,-0.02229219643896762
120,lengths,0.09336048431569793,-0.09114198117965255
121,light,0.04137367962372157,-0.021675323281814592
122,line,0.03901017249123198,-0.021702375995386547
123,live,0.13607890163847977,0.39123523169788765
124,london,0.055644668580434015,0.038526581553151376
125,main,0.01910109414275966,0.02789897694151703
126,major,0.05263167870428424,0.0706357726554121
127,management,0.04181481571115661,-0.023244169679062586
128,march,0.035148084868073456,-0.016411359188303578
129,margin,0.047126395195397734,-0.02229219643896762
130,mellon,0.08362963142231322,-0.04648833935812517
131,men,0.24614496262374533,-0.12474286372441346
132,metre,0.053329528990009686,0.01682258096760643
133,mile,0.055644668580434015,0.038526581553151376
134,minutes,0.035148084868073456,-0.016411359188303578
135,monetary,0.035148084868073456,-0.016411359188303578
136,money,0.035148084868073456,-0.016411359188303578
137,months,0.035148084868073456,-0.016411359188303578
138,mortlake,0.055644668580434015,0.038526581553151376
139,most,0.05219758999458935,-0.028248460216802135
140,méxico,0.01910109414275966,0.02789897694151703
141,newton,0.04181481571115661,-0.023244169679062586
142,no,0.07029616973614691,-0.032822718376607156
143,notes,0.035148084868073456,-0.016411359188303578
144,numerous,0.01910109414275966,0.02789897694151703
145,occasions,0.053329528990009686,0.01682258096760643
146,of,0.26027013004723015,-0.07881858064131389
147,official,0.03901017249123198,-0.021702375995386547
148,officially,0.047126395195397734,-0.02229219643896762
149,on,0.29900221891052176,0.2967480844488967
150,online,0.04518917394992023,0.23944186234133724
